player_name,opponent,home,minutes,avg_points_last5,avg_rebounds_last5,avg_assists_last5,points,rebounds,assists
LeBron James,GSW,1,40.0,23.0,4.2,5.8,33,5,9
LeBron James,HOU,1,38.0,26.8,4.4,6.0,16,8,4
LeBron James,MEM,0,37.0,24.6,4.6,6.2,25,6,8
LeBron James,CHI,0,39.0,24.0,4.4,7.2,17,5,12
LeBron James,IND,0,38.0,23.6,4.8,8.2,13,13,7
LeBron James,ORL,0,38.0,20.8,7.4,8.0,24,6,7
LeBron James,CHI,1,31.0,19.0,7.6,7.6,17,6,4
LeBron James,BOS,0,35.0,19.2,7.2,7.6,22,14,9
LeBron James,NYK,1,44.0,18.6,8.8,7.8,31,12,8
LeBron James,NOP,1,33.0,21.4,10.2,7.0,34,8,6
LeBron James,LAC,1,36.0,25.6,9.2,6.8,17,5,9
LeBron James,LAC,1,37.0,24.2,9.0,7.2,28,13,3
LeBron James,MIN,1,37.0,26.4,10.4,7.0,33,17,6
LeBron James,DAL,1,37.0,28.6,11.0,6.4,27,12,3
LeBron James,DEN,0,33.0,27.8,11.0,5.4,25,9,5
LeBron James,POR,0,36.0,26.0,11.2,5.2,40,8,4
LeBron James,CHA,1,38.0,30.6,11.8,4.2,26,7,11
LeBron James,UTA,0,34.0,30.2,10.6,5.8,18,6,7
LeBron James,UTA,1,29.0,27.2,8.4,6.0,24,7,8
LeBron James,GSW,1,38.0,26.6,7.4,7.0,42,17,8
LeBron James,LAC,0,31.0,30.0,9.0,7.6,26,8,9
LeBron James,NYK,0,37.0,27.2,9.0,8.6,33,11,12
LeBron James,WAS,0,27.0,28.6,9.8,8.8,24,3,11
LeBron James,PHI,0,33.0,29.8,9.2,9.6,31,8,9
LeBron James,CHA,0,36.0,31.2,9.4,9.8,22,7,8
LeBron James,GSW,0,35.0,27.2,7.4,9.8,25,5,12
LeBron James,BOS,1,31.0,27.0,6.8,10.4,20,14,6
LeBron James,WAS,1,36.0,24.4,7.4,9.2,21,10,13
LeBron James,LAC,0,35.0,23.8,8.8,9.6,25,5,11
LeBron James,BKN,1,35.0,22.6,8.2,10.0,29,7,8
LeBron James,MIA,1,38.0,24.0,8.2,10.0,22,5,9
LeBron James,SAS,1,32.0,23.4,8.2,9.4,18,5,8
LeBron James,DAL,0,35.0,23.0,6.4,9.8,18,10,8
LeBron James,HOU,0,36.0,22.4,6.4,8.8,21,13,9
LeBron James,ATL,1,30.0,21.6,8.0,8.4,30,3,8
LeBron James,POR,1,36.0,21.8,7.2,8.4,38,3,8
LeBron James,CLE,1,34.0,25.0,6.8,8.2,23,4,7
LeBron James,GSW,0,37.0,26.0,6.6,8.0,31,4,10
LeBron James,DET,1,35.0,28.6,5.4,8.4,28,11,11
LeBron James,SAC,0,34.0,30.0,5.0,8.8,32,7,6
LeBron James,SAC,0,34.0,30.4,5.8,8.4,19,6,7
LeBron James,MEM,1,34.0,26.6,6.4,8.2,18,8,8
LeBron James,ATL,0,43.0,25.6,7.2,8.4,39,10,11
LeBron James,MIA,0,29.0,27.2,8.4,8.6,29,5,8
LeBron James,MIN,0,31.0,27.4,7.2,8.0,10,8,4
LeBron James,UTA,0,36.0,23.0,7.4,7.6,27,5,14
LeBron James,OKC,1,34.0,24.6,7.2,9.0,12,8,6
LeBron James,SAS,0,33.0,23.4,7.2,8.6,16,10,11
LeBron James,PHX,0,35.0,18.8,7.2,8.6,18,8,10
LeBron James,DEN,1,35.0,16.6,7.8,9.0,18,6,7
LeBron James,ORL,1,37.0,18.2,7.4,9.6,31,10,7
LeBron James,UTA,1,34.0,19.0,8.4,8.2,26,2,12
LeBron James,NOP,0,37.0,21.8,7.2,9.4,21,7,5
LeBron James,SAS,0,38.0,22.8,6.6,8.2,15,16,12
LeBron James,MEM,1,37.0,22.2,8.2,8.6,35,12,14
LeBron James,TOR,1,35.0,25.6,9.4,10.0,19,10,16
LeBron James,PHI,1,34.0,23.2,9.4,11.8,21,12,13
LeBron James,MEM,0,35.0,22.2,11.4,12.0,39,7,6
LeBron James,DET,0,40.0,25.8,11.4,12.2,20,8,11
LeBron James,TOR,0,36.0,26.8,9.8,12.0,27,6,10
LeBron James,CLE,0,29.0,25.2,8.6,11.2,26,6,3
LeBron James,PHX,0,36.0,26.6,7.8,8.6,11,5,8
LeBron James,SAC,1,34.0,24.6,6.4,7.6,32,14,10
LeBron James,PHX,1,35.0,23.2,7.8,8.4,21,4,8
LeBron James,MIN,1,35.0,23.4,7.0,7.8,16,5,4
Stephen Curry,DEN,1,32.0,21.6,5.4,5.6,36,2,5
Stephen Curry,LAL,0,34.0,21.6,5.2,5.4,37,3,6
Stephen Curry,MEM,0,37.0,26.2,4.8,5.6,52,10,8
Stephen Curry,SAS,0,26.0,30.6,5.2,6.6,13,3,6
Stephen Curry,NOP,0,34.0,28.2,4.0,6.6,23,4,6
Stephen Curry,TOR,1,25.0,32.2,4.4,6.2,17,2,1
Stephen Curry,DEN,1,36.0,28.4,4.4,5.4,20,4,7
Stephen Curry,NYK,1,35.0,25.0,4.6,5.6,28,7,5
Stephen Curry,SAC,1,30.0,20.2,4.0,5.0,11,2,5
